product_id,marketplace_id,product_title,product_price,list_price,manufacturer,upc,model_name,product_dimensions,product_weight,customer_ratings,average_rating,listing_url,image_url,seller_info_url
B08VBQVHF9,1,"Sigma Beauty On-the-Go Eyeshadow Palette - Fiery - 9 Bold Eyeshadow Shades in Matte, Shimmer and Metalic Finishes - Highly Pigmented Vegan Eye Makeup Palette - Clean Beauty Products",$24.65,$29.00,SIGMA Beauty,811425032558,-,Item Dimensions LxWxH,-,67 ratings,4.2 out of 5 stars,https://www.amazon.com/Sigma-Beauty-Fiery-Eyeshadow-Palette/dp/B08VBQVHF9/ref=sr_1_193?keywords=9+color+eyeshadow+palette&qid=1699047923&sr=8-193,https://m.media-amazon.com/images/I/91ZtUZnLJfL._AC_UL320_.jpg,-
B0BR2L68W6,2,"Glitter Eyeshadow Palette Makeup Set,10 Colors Shimmer Eyeshadow Palette Gold Eyeshadow Highly Pigmented Long Lasting Waterproof Sweatproof Professional Nude Eyeshadow Palette Make Up Palettes for Women Warm Natural Neutral Smokey Eye Eyeshadow Palette Valentine's Day",$11.98,$11.98,Impeccablery,-,-,Item Dimensions LxWxH,-,33 ratings,4.5 out of 5 stars,https://www.amazon.com/Eyeshadow-Waterproof-Sweatproof-Professional-Valentines/dp/B0BR2L68W6/ref=sr_1_194?keywords=9+color+eyeshadow+palette&qid=1699047923&sr=8-194,https://m.media-amazon.com/images/I/81ia6kGvAvL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AX2VQBJWCT7H5&asin=B0BR2L68W6&ref_=dp_merchant_link&isAmazonFulfilled=1
B0BC69QC2F,-,TWLBXMG Red Eyeshadow Stick Cream Smooth Shimmer Eyeshadow Pencil Hypoallergenic Waterproof Long Lasting Eye Shadow Pen Multi-Dimensional Eyes Look (09# Romantic Red Shimmer),-,-,TWLBXMG,-,-,5.1 x 0.58 x 0.58 inches, 0.32 Ounces,305 ratings,3.7 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjE2NTkyODUyOTQ2NzE6MTY5OTA0NzkzMDpzcF9hdGZfbmV4dDoyMDAxMDk1NjA2MjEwOTg6OjA6Og&url=%2FEyeshadow-Hypoallergenic-Waterproof-Eyeliner-Multi-Dimensional%2Fdp%2FB0BC69QC2F%2Fref%3Dsr_1_193_sspa%3Fkeywords%3D9%2Bcolor%2Beyeshadow%2Bpalette%26qid%3D1699047930%26sr%3D8-193-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,https://m.media-amazon.com/images/I/7136JbeBDxL._AC_UL320_.jpg,-
B0B74T5M4H,-,"2 in 1 Cream Eyeshadow Stick Makeup, Shimmer Single Eyeshadow Pencil Crayon, Nude Pink Sparkle Eyeshadow Pen, Hypoallergenic Waterproof Long Lasting Eye Shadow Stick, Multi-Dimensional High Pigment Eye Highlighter Pen(Sand Shimmer #02)",-,-,MAY FOLTREN,-,-,5.5 x 0.7 x 0.58 inches, 0.6 Ounces,434 ratings,3.8 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjE2NTkyODUyOTQ2NzE6MTY5OTA0NzkzMDpzcF9hdGZfbmV4dDozMDAwMDE4NjkxMDE4MDI6OjA6Og&url=%2FHypoallergenic-Waterproof-Highlighter-High-Impact-Multi-Dimensional%2Fdp%2FB0B74T5M4H%2Fref%3Dsr_1_194_sspa%3Fkeywords%3D9%2Bcolor%2Beyeshadow%2Bpalette%26qid%3D1699047930%26sr%3D8-194-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,https://m.media-amazon.com/images/I/61VYazlAYOL._AC_UL320_.jpg,-
B0CHN1YT2P,-,Metiplou Silver Smokey Grey Gray Cream Eyeshadow Stick Shimmer Smooth Eyeshadow Pencil Waterproof Long Lasting & High Pigmented Eye Shadow Pen Highlighter Stick Multi-Dimensional eyes Look (14),-,-,Metiplou,-,-,4.51 x 0.83 x 0.58 inches, 0.32 Ounces,11 ratings,4.3 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjE2NTkyODUyOTQ2NzE6MTY5OTA0NzkzMDpzcF9hdGZfbmV4dDozMDAwNjQxNzg4MTI4MDI6OjA6Og&url=%2FMetiplou-Eyeshadow-Waterproof-Highlighter-Multi-Dimensional%2Fdp%2FB0CHN1YT2P%2Fref%3Dsr_1_195_sspa%3Fkeywords%3D9%2Bcolor%2Beyeshadow%2Bpalette%26qid%3D1699047930%26sr%3D8-195-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,https://m.media-amazon.com/images/I/81WgFQrSa8L._AC_UL320_.jpg,-
B0BGXWMJR6,-,"KYDA 10 Colors Eyeshadow Palette, Shimmer Pearl Matte Eyeshadow Powder Palette, Glitter Sparkling Eye Shadow Makeup, High Pigmented Blendable Multi-Color for Smokey Nudes Warm Cold Tones Eyes Makeup, by Ownest Beauty-#01",-,-,KYDA,-,-,7.2 x 5.31 x 1.26 inches, 3.53 Ounces,448 ratings,4.3 out of 5 stars,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjE2NTkyODUyOTQ2NzE6MTY5OTA0NzkzMDpzcF9hdGZfbmV4dDoyMDAxNzM2MTQxMjE2OTg6OjA6Og&url=%2FKYDA-Eyeshadow-Sparkling-Pigmented-Multi-Color%2Fdp%2FB0BGXWMJR6%2Fref%3Dsr_1_196_sspa%3Fkeywords%3D9%2Bcolor%2Beyeshadow%2Bpalette%26qid%3D1699047930%26sr%3D8-196-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1,https://m.media-amazon.com/images/I/81mhz0StfdL._AC_UL320_.jpg,-
B0BR2L68W6,2,"Glitter Eyeshadow Palette Makeup Set,10 Colors Shimmer Eyeshadow Palette Gold Eyeshadow Highly Pigmented Long Lasting Waterproof Sweatproof Professional Nude Eyeshadow Palette Make Up Palettes for Women Warm Natural Neutral Smokey Eye Eyeshadow Palette Valentine's Day",$11.98,$11.98,Impeccablery,-,-,Item Dimensions LxWxH,-,33 ratings,4.5 out of 5 stars,https://www.amazon.com/Eyeshadow-Waterproof-Sweatproof-Professional-Valentines/dp/B0BR2L68W6/ref=sr_1_197?keywords=9+color+eyeshadow+palette&qid=1699047930&sr=8-197,https://m.media-amazon.com/images/I/81ia6kGvAvL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=AX2VQBJWCT7H5&asin=B0BR2L68W6&ref_=dp_merchant_link&isAmazonFulfilled=1
B08JCLTJMY,2,Etude House Play Color Eyes #Pink Muhly Romance | 9 Color Eye Shadow with Warm and Soft Autumn Colors | Eye Makeup | Korean Beauty,$20.62,$20.62,shinsegae intercos,650002851,-,Item Dimensions LxWxH,-,290 ratings,4.6 out of 5 stars,https://www.amazon.com/Romance-Shadow-Autumn-Colors-Makeup/dp/B08JCLTJMY/ref=sr_1_198?keywords=9+color+eyeshadow+palette&qid=1699047930&sr=8-198,https://m.media-amazon.com/images/I/610MAeTqiCL._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A34TZ8AIJ8CZKO&asin=B08JCLTJMY&ref_=dp_merchant_link&isAmazonFulfilled=1
B0B183ZDKV,2,"10 Colors Eyeshadow Palette, Wterproof Long Lasting High Pigment Eyeshadow Palette,Ultra-Blendable Smooth Matte Eye Makeup Palette,Naturing-Looking Nude Matte Eyeshadow with 2 Brush(Cement color)",$8.58,$8.58,Eakroo,-,-,6.69 x 3.62 x 0.59 inches, 3.21 Ounces,258 ratings,4.0 out of 5 stars,https://www.amazon.com/Eyeshadow-Palette-Wterproof-Ultra-Blendable-Naturing-Looking/dp/B0B183ZDKV/ref=sr_1_199?keywords=9+color+eyeshadow+palette&qid=1699047930&sr=8-199,https://m.media-amazon.com/images/I/71yrIMBAE6L._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2WVHE1AK2C4CK&asin=B0B183ZDKV&ref_=dp_merchant_link&isAmazonFulfilled=1
B092MK5RMM,2,Weizhiya 18 Colors Eyeshadow Palette Makeup Long Lasting Eye Shadow Palettes Neutrals Shimmer Matte Glitter Pressed Pearls Eye Shadow Makeup palette Cosmetics,$11.99,$11.99,Weizhiya,-,-,0.25 x 0.07 x 0.05 inches, 9.44 Ounces,-,-,https://www.amazon.com/Eyeshadow-Palette-Palettes-Neutrals-Cosmetics/dp/B092MK5RMM/ref=sr_1_200?keywords=9+color+eyeshadow+palette&qid=1699047930&sr=8-200,https://m.media-amazon.com/images/I/71CQ+1-8O-L._AC_UL320_.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2LIX5D54HCISQ&asin=B092MK5RMM&ref_=dp_merchant_link
